Municipios	Sexo	Periodo	Total
28164 Valdetorres de Jarama	Hombres	2022	2.418
28164 Valdetorres de Jarama	Mujeres	2022	2.412
28165 Valdilecha	Total	2022	3.104
28165 Valdilecha	Hombres	2022	1.604
28165 Valdilecha	Mujeres	2022	1.500
28166 Valverde de Alcalá	Total	2022	532
28166 Valverde de Alcalá	Hombres	2022	282
28166 Valverde de Alcalá	Mujeres	2022	250
28167 Velilla de San Antonio	Total	2022	12.770
28167 Velilla de San Antonio	Hombres	2022	6.409
28167 Velilla de San Antonio	Mujeres	2022	6.361
28168 Vellón, El	Total	2022	2.124
28168 Vellón, El	Hombres	2022	1.106
28168 Vellón, El	Mujeres	2022	1.018
28169 Venturada	Total	2022	2.445
28169 Venturada	Hombres	2022	1.271
28169 Venturada	Mujeres	2022	1.174
28171 Villa del Prado	Total	2022	7.092
28171 Villa del Prado	Hombres	2022	3.607
28171 Villa del Prado	Mujeres	2022	3.485
28170 Villaconejos	Total	2022	3.456
28170 Villaconejos	Hombres	2022	1.774
28170 Villaconejos	Mujeres	2022	1.682
28172 Villalbilla	Total	2022	15.866
28172 Villalbilla	Hombres	2022	7.986
28172 Villalbilla	Mujeres	2022	7.880
28173 Villamanrique de Tajo	Total	2022	757
28173 Villamanrique de Tajo	Hombres	2022	394
28173 Villamanrique de Tajo	Mujeres	2022	363
28174 Villamanta	Total	2022	2.714
28174 Villamanta	Hombres	2022	1.380
28174 Villamanta	Mujeres	2022	1.334
28175 Villamantilla	Total	2022	1.567
28175 Villamantilla	Hombres	2022	768
28175 Villamantilla	Mujeres	2022	799
28176 Villanueva de la Cañada	Total	2022	22.845
28176 Villanueva de la Cañada	Hombres	2022	11.120
28176 Villanueva de la Cañada	Mujeres	2022	11.725
28178 Villanueva de Perales	Total	2022	1.623
28178 Villanueva de Perales	Hombres	2022	832
28178 Villanueva de Perales	Mujeres	2022	791
28177 Villanueva del Pardillo	Total	2022	17.382
28177 Villanueva del Pardillo	Hombres	2022	8.416
28177 Villanueva del Pardillo	Mujeres	2022	8.966
28179 Villar del Olmo	Total	2022	2.219
28179 Villar del Olmo	Hombres	2022	1.102
28179 Villar del Olmo	Mujeres	2022	1.117
28180 Villarejo de Salvanés	Total	2022	7.629
28180 Villarejo de Salvanés	Hombres	2022	3.790
28180 Villarejo de Salvanés	Mujeres	2022	3.839
28181 Villaviciosa de Odón	Total	2022	28.152
28181 Villaviciosa de Odón	Hombres	2022	13.619
28181 Villaviciosa de Odón	Mujeres	2022	14.533
28182 Villavieja del Lozoya	Total	2022	284
28182 Villavieja del Lozoya	Hombres	2022	150
28182 Villavieja del Lozoya	Mujeres	2022	134
28183 Zarzalejo	Total	2022	1.773
28183 Zarzalejo	Hombres	2022	903
28183 Zarzalejo	Mujeres	2022	870
